district,exposure,sensitivity,adaptive_capacity,potential_impact,ouv_vulnerability,esc_impact,community_vulnerability,cvi_score,vulnerability_level,exposure_components,sensitivity_components,adaptive_capacity_components
Nuh,0.7648326466688607,0.1040598717948718,0.022974841606263997,0.4344462592318663,0.4244649252395803,0.4546789551437482,0.44423277816761897,0.44423277816761897,HIGH,"{'rainfall_cv': np.float64(1.4300920442343732), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.055318359462035), 'temp_variability': np.float64(6.409578702125415), 'heat_wave_count': np.int64(8), 'aqi': 110}","{'population_density': np.float64(617.0), 'gw_depletion_rate': np.float64(0.427749358974359), 'avg_gw_level': np.float64(7.374125822325821)}","{'income': 0, 'urbanization_rate': np.float64(7.658280535421333)}"
Palwal,0.7488409996828482,0.02454,0.140564107064847,0.3866904998414241,0.332335695020755,0.399401417012453,0.34325991346966295,0.34325991346966295,MODERATE,"{'rainfall_cv': np.float64(1.362125456290323), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.055318359462035), 'temp_variability': np.float64(6.409578702125415), 'heat_wave_count': np.int64(8), 'aqi': 112}","{'population_density': np.float64(818.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(8.225781265669067)}","{'income': np.int64(65009), 'urbanization_rate': np.float64(31.685935688282342)}"
Panipat,0.7722121983809875,0.02853,0.5091453365045208,0.40037109919049374,0.19652402116646495,0.31791441269987897,0.156049772066162,0.156049772066162,LOW,"{'rainfall_cv': np.float64(1.4288517419929458), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.73887518648285), 'temp_variability': np.float64(6.585509154886829), 'heat_wave_count': np.int64(8), 'aqi': 122}","{'population_density': np.float64(951.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(17.444378844099663)}","{'income': np.int64(530000), 'urbanization_rate': np.float64(46.048445501506926)}"
Rewari,0.7724916382637008,0.01695,0.16038130733995903,0.3947208191318504,0.3314149781251847,0.39884898687511083,0.3348810649288624,0.3348810649288624,MODERATE,"{'rainfall_cv': np.float64(1.496490896125739), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.03948734942207), 'temp_variability': np.float64(6.483363478933319), 'heat_wave_count': np.int64(8), 'aqi': 90}","{'population_density': np.float64(565.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(23.499195295580975)}","{'income': np.int64(118000), 'urbanization_rate': np.float64(25.92710244665301)}"
Rohtak,0.7937977688801432,0.01824,0.12612956604008277,0.4060188844400716,0.3548078987415669,0.4128847392449401,0.3608077662594031,0.3608077662594031,MODERATE,"{'rainfall_cv': np.float64(1.5182047387854176), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.013102332688796), 'temp_variability': np.float64(6.613818479048161), 'heat_wave_count': np.int64(8), 'aqi': 118}","{'population_density': np.float64(608.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(4.064016975360478)}","{'income': 0, 'urbanization_rate': np.float64(42.04318868002759)}"
Shahdara,0.7652282308103494,1.7910899999999998,0.3,1.2781591154051746,0.8947113807836221,0.7368268284701733,0.5157787799291214,0.5157787799291214,HIGH,"{'rainfall_cv': np.float64(1.3156811097640393), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.57433889875929), 'temp_variability': np.float64(6.572329111537443), 'heat_wave_count': np.int64(8), 'aqi': 166}","{'population_density': np.float64(59703.0), 'gw_depletion_rate': 0, 'avg_gw_level': 0}","{'income': 0, 'urbanization_rate': np.float64(100.0)}"
Shamli,0.7456568606478436,0.16306018037518039,0.14505150291216368,0.45435852051151204,0.38845313425037004,0.43307188055022205,0.3702541534074153,0.3702541534074153,MODERATE,"{'rainfall_cv': np.float64(1.3793956291140161), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.57433889875929), 'temp_variability': np.float64(6.572329111537443), 'heat_wave_count': np.int64(8), 'aqi': 95}","{'population_density': np.float64(1126.0), 'gw_depletion_rate': np.float64(0.6464009018759019), 'avg_gw_level': np.float64(15.219323873657206)}","{'income': np.int64(72257), 'urbanization_rate': np.float64(31.490534304054563)}"
Sonipat,0.7550998640531543,0.020489999999999998,0.093799383586632,0.38779493202657717,0.35142000644446436,0.41085200386667864,0.37231433915865164,0.37231433915865164,MODERATE,"{'rainfall_cv': np.float64(1.362066660862377), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.870504216661704), 'temp_variability': np.float64(6.598112412504999), 'heat_wave_count': np.int64(8), 'aqi': 120}","{'population_density': np.float64(683.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(10.04891633723265)}","{'income': 0, 'urbanization_rate': np.float64(31.266461195544004)}"
South Delhi,0.7689974864422842,0.34826333333333337,0.29866105597912684,0.5586304098878088,0.39178926176866335,0.435073557061198,0.3051340290807057,0.3051340290807057,MODERATE,"{'rainfall_cv': np.float64(1.3399928408253439), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.76250559494859), 'temp_variability': np.float64(6.580783963406821), 'heat_wave_count': np.int64(8), 'aqi': 160}","{'population_density': np.float64(11060.0), 'gw_depletion_rate': np.float64(0.08231666666666668), 'avg_gw_level': np.float64(1.8262222222222222)}","{'income': 0, 'urbanization_rate': np.float64(99.55368532637561)}"
South East Delhi,0.7670656601656907,0.34826333333333337,0.29866105597912684,0.557664496749512,0.3911118292682344,0.43466709756094063,0.30484896320400795,0.30484896320400795,MODERATE,"{'rainfall_cv': np.float64(1.33684630308923), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.705155404060488), 'temp_variability': np.float64(6.582574545413443), 'heat_wave_count': np.int64(8), 'aqi': 158}","{'population_density': np.float64(11060.0), 'gw_depletion_rate': np.float64(0.08231666666666668), 'avg_gw_level': np.float64(1.8262222222222222)}","{'income': 0, 'urbanization_rate': np.float64(99.55368532637561)}"
South West Delhi,0.7832819297211855,0.34826333333333337,0.29866105597912684,0.5657726315272594,0.3967983799512387,0.4380790279707432,0.3072418828746916,0.3072418828746916,MODERATE,"{'rainfall_cv': np.float64(1.400141382149587), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.013102332688796), 'temp_variability': np.float64(6.613818479048161), 'heat_wave_count': np.int64(8), 'aqi': 156}","{'population_density': np.float64(11060.0), 'gw_depletion_rate': np.float64(0.08231666666666668), 'avg_gw_level': np.float64(1.8262222222222222)}","{'income': 0, 'urbanization_rate': np.float64(99.55368532637561)}"
West Delhi,0.7833468560561963,0.5868899999999999,0.6225796991836801,0.6851184280280981,0.258577603201169,0.3551465619207014,0.1340395222339929,0.1340395222339929,LOW,"{'rainfall_cv': np.float64(1.3858769014221415), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.93464289919099), 'temp_variability': np.float64(6.604913466872529), 'heat_wave_count': np.int64(8), 'aqi': 164}","{'population_density': np.float64(19563.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(11.44188313097777)}","{'income': np.int64(461910), 'urbanization_rate': np.float64(99.74756639456001)}"
