" Code","Sampling Date",State,City/Town/Village/Area,"Location of Monitoring Station",Agency,"Type of Location",SO2,NO2,RSPM/PM10,"PM 2.5"
NA,2007-07-02T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",16.4,52.6,130,NA
NA,2009-04-09T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.7,49.8,236,NA
NA,2014-05-11T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,48,205,NA
NA,2004-07-10T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,77,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,50,195,76
NA,2003-01-20T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,189,NA
NA,2005-11-07T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",5,57,106,NA
NA,2011-11-21T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,250,NA
NA,2006-02-03T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.6,60.9,268,NA
NA,2008-07-29T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4,39.2,118,NA
NA,2008-07-08T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.5,55,143,NA
NA,2006-08-03T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.8,34.7,129,NA
NA,2007-02-16T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",4.8,56.7,120,NA
NA,2003-01-23T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,144,NA
NA,2014-11-11T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,54,363,NA
NA,2011-11-24T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",5,46,255,NA
NA,2009-09-14T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,54.2,116,NA
NA,2004-12-10T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,41,NA
NA,2005-12-07T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",6,53,81,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,52,226,86
NA,2009-09-17T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,54.7,205,NA
NA,2014-11-14T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,53,330,NA
NA,2005-07-13T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",9,69,78,NA
NA,2003-01-28T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",8,24,89,NA
NA,2008-12-08T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4,40.3,123,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,54,245,59
NA,2011-11-29T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,43,249,NA
NA,2007-02-17T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",8.4,59,131,NA
NA,2006-09-03T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",10,47.5,125,NA
NA,2004-10-15T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,92.67,NA
NA,2014-11-19T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,56,481,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,56,246,52
NA,2008-08-18T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4,48.7,125,NA
NA,2007-02-20T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",6.1,51.4,141,NA
NA,2003-03-02T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13,35,108,NA
NA,2009-09-23T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.5,57,244,NA
NA,2011-05-12T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,38,170,NA
NA,2006-03-17T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",NA,31.3,126,NA
NA,2004-10-20T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,126,NA
NA,2005-07-14T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",10,75,73,NA
NA,2014-11-24T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,45,316,NA
NA,2009-09-29T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,55.3,306,NA
NA,2005-07-15T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",8,81,114,NA
NA,2007-02-21T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.5,60.3,152,NA
NA,2003-06-02T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",8,40,62,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,56,192,70
NA,2011-09-12T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,266,NA
NA,2008-08-21T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4,42,170,NA
NA,2004-10-26T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,153,NA
NA,2006-03-18T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",7,38.8,166,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,47,255,218
NA,2005-07-16T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",7,80,61,NA
NA,2007-02-26T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",11.4,68.9,194,NA
NA,2011-12-14T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,32,184,NA
NA,2009-06-10T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,58.8,137,NA
NA,2003-11-02T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",8,26,100,NA
NA,2008-08-26T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.8,47.8,142,NA
NA,2004-01-11T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,148.33,NA
NA,2014-11-27T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,45,303,NA
NA,2006-03-21T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",2.6,24.9,66,NA
NA,2009-09-10T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,63.8,144,NA
NA,2011-12-19T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,42,474,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,52,313,94
NA,2003-02-17T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",8,30,102,NA
NA,2005-07-17T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",9,65,72,NA
NA,2006-03-22T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",8.4,42,139,NA
NA,2004-04-11T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,192.67,NA
NA,2014-03-12T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,39,263,NA
NA,2008-01-09T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,45.3,371,NA
NA,2007-02-27T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",4.1,35.8,102,NA
NA,2009-10-14T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.7,57.7,368,NA
NA,2004-09-11T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,201.67,NA
NA,2003-02-20T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",9,33,147,NA
NA,2014-08-12T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,45,343,NA
NA,2006-04-04T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",8.3,41.4,189,NA
NA,2005-07-18T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",8,89,110,NA
NA,2011-12-27T06:50:54Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",5,55,451,NA
NA,2008-04-09T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.2,47.8,206,NA
NA,2007-06-03T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",NA,54.2,87,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,50,284,222
NA,2004-11-16T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,153,NA
NA,2005-07-19T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",7,67,81,NA
NA,2006-05-04T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.3,51.6,246,NA
NA,2008-09-09T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.8,46.8,96,NA
NA,2014-11-12T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,49,237,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",12,45,119,84
NA,2011-05-01T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,48,260,NA
NA,2003-02-25T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",10,37,129,NA
NA,2007-07-03T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",4.1,53.8,72,NA
NA,2009-10-19T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4,60,470,NA
NA,2011-10-01T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",5,66,267,NA
NA,2008-12-09T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",6.3,51,74,NA
NA,2004-11-19T06:50:13Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,204.67,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",9,49,403,194
NA,2014-12-16T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,158,NA
NA,2009-10-22T11:51:43Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,51.8,365,NA
NA,2007-03-13T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",3.9,46,56,NA
NA,2006-04-14T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",14,56.6,221,NA
NA,2005-07-20T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",6,66,105,NA
NA,2003-03-03T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,150,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,53,163,69
NA,2006-04-15T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",16.1,39.3,236,NA
NA,2011-01-13T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",5,57,511,NA
NA,2009-10-27T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.3,49.8,275,NA
NA,2004-11-24T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,141,NA
NA,2014-12-19T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,42,251,NA
NA,2005-07-21T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",6,58,185,NA
NA,2003-06-03T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",7,28,75,NA
NA,2008-09-17T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",6.2,47.3,NA,NA
NA,2007-03-14T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",2.5,47,59,NA
NA,2014-12-24T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,40,257,NA
NA,2004-01-12T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,138.33,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,51,176,89
NA,2005-07-22T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",5,57,145,NA
NA,2009-03-11T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,57,371,NA
NA,2011-01-18T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",6,69,301,NA
NA,2006-04-18T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",11.5,28.4,121,NA
NA,2003-11-03T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",11,41,78,NA
NA,2008-09-22T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,47.5,NA,NA
NA,2007-03-20T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",7.2,43.2,74,NA
NA,2006-04-19T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.3,35.1,139,NA
NA,2014-12-30T12:46:37Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,214,NA
NA,2007-03-21T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.2,52.5,81,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,57,340,123
NA,2009-06-11T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.2,59.2,324,NA
NA,2011-01-21T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,43,306,NA
NA,2004-06-12T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,141,NA
NA,2005-07-23T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",5,61,118,NA
NA,2003-03-17T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13,42,124,NA
NA,2008-09-25T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.5,48.2,110,NA
NA,2014-02-01T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,65,389,NA
NA,2009-11-11T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,60.7,285,NA
NA,2004-09-12T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,143.5,NA
NA,2006-04-24T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",4.8,67.1,193,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,58,346,96
NA,2011-01-27T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",5,53,452,NA
NA,2008-01-10T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,50.5,307,NA
NA,2005-07-24T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",7,62,98,NA
NA,2007-03-26T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",NA,40.7,84,NA
NA,2003-03-21T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",9,36,96,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,53,423,NA
NA,2004-12-14T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,246.67,NA
NA,2014-07-01T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,69,240,NA
NA,2006-04-25T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",4,50,473,NA
NA,2008-07-10T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.2,50.8,286,NA
NA,2009-11-16T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.7,57,238,NA
NA,2003-03-26T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",12,44,101,NA
NA,2011-02-02T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",5,49,330,NA
NA,2007-03-27T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",3.3,45.2,97,NA
NA,2005-07-25T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",7,66,114,NA
NA,2014-10-01T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,64,313,NA
NA,2009-11-19T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.5,60,212,NA
NA,2007-01-05T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",3.6,47.6,199,NA
NA,2003-01-04T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13,40,189,NA
NA,2004-12-17T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,190.33,NA
NA,2005-07-26T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",11,62,92,NA
NA,2011-07-02T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",6,54,370,NA
NA,2008-10-13T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.7,51.2,444,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,50,443,NA
NA,2006-10-05T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",6.6,32.8,276,NA
NA,2014-01-16T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,63,399,NA
NA,2011-10-02T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,60,344,NA
NA,2008-10-16T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.2,50.2,323,NA
NA,2004-12-22T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,245.5,NA
NA,2006-11-05T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.8,33,194,NA
NA,2009-11-24T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,61.3,321,NA
NA,2005-07-27T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",8,66,123,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,59,346,NA
NA,2003-04-04T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13,44,127,NA
NA,2007-02-05T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",10.4,96.9,116,NA
NA,2014-01-21T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,63,119,NA
NA,2011-02-15T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,40,83,NA
NA,2008-10-21T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,54,530,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",5,67,638,NA
NA,2007-09-05T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",10.1,65,89,NA
NA,2009-11-27T11:51:44Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",4.5,53.5,431,NA
NA,2006-05-16T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",2.5,25.8,117,NA
NA,2003-09-04T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13,39,149,NA
NA,2005-07-28T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",8,64,138,NA
NA,2004-12-27T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,281.5,NA
NA,2011-02-24T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,46,NA,NA
NA,2006-05-17T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",7.8,48.9,123,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,58,260,NA
NA,2014-01-24T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,55,161,NA
NA,2009-06-01T11:51:44Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",6,44.7,183,NA
NA,2007-10-05T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",11.3,77.3,116,NA
NA,2003-04-16T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",10,30,63,NA
NA,2008-10-24T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,56.5,511,NA
NA,2004-12-30T06:50:14Z,Delhi,Delhi,"Shahadra, Delhi","Central Pollution Control Board","Industrial Area",NA,NA,208,NA
NA,2005-07-29T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",7,71,79,NA
NA,2014-01-29T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,60,403,NA
NA,2009-07-01T11:51:44Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",5.8,44.7,144,NA
NA,2008-10-30T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5.3,54.2,256,NA
NA,2006-05-23T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",2.8,50.5,116,NA
NA,2005-07-30T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",6,66,109,NA
NA,2003-04-22T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",8,26,90,NA
NA,2011-03-03T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,42,NA,NA
NA,2004-01-01T06:50:14Z,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,179.33,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,56,140,NA
NA,2007-05-18T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",16.4,73.1,101,NA
NA,2011-08-03T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",5,56,174,NA
NA,2003-04-25T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",9,30,68,NA
NA,2004-06-01T06:50:14Z,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,106,NA
NA,NA,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",19,63,283,NA
NA,2014-04-02T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,65,307,NA
NA,2005-07-31T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",5,62,160,NA
NA,2008-05-11T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",6.2,48,263,NA
NA,2007-05-19T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",9.8,56.5,121,NA
NA,2006-05-24T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",4.9,38.2,182,NA
NA,2009-08-01T11:51:44Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",10,57,197,NA
NA,2003-09-06T06:08:55Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",12,52,370,NA
NA,2006-05-29T05:38:19Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",4.6,27.1,124,NA
NA,2011-11-03T06:50:54Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",5,56,254,NA
NA,2007-05-22T11:46:47Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",7.2,86.8,127,NA
NA,2014-07-02T12:46:37Z,Delhi,Delhi,"Shahzada Bagh, Delhi","Central Pollution Control Board","Industrial Area",4,58,203,NA
NA,2005-01-08T05:23:44Z,Delhi,Delhi,"BSZ Marg",NA,"Residential and others",7,68,119,NA
NA,2008-10-11T06:50:33Z,Delhi,Delhi,Janakpuri,NA,"Residential and others",5,55.3,485,NA
NA,2004-09-01T06:50:14Z,Delhi,Delhi,"Janakpuri, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,90.67,NA
NA,NA,Delhi,Delhi,"Siri Fort, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,53,173,NA
NA,2009-01-20T11:51:44Z,Delhi,Delhi,"N.Y. School",NA,"Residential and others",NA,50.3,113,NA
