" Code","Sampling Date",State,City/Town/Village/Area,"Location of Monitoring Station",Agency,"Type of Location",SO2,NO2,RSPM/PM10,"PM 2.5"
NA,2014-01-15T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,46,291,NA
NA,2013-01-15T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,90,335,NA
NA,2007-02-17T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.6,59,173,NA
NA,1988-03-08T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",NA,NA,NA,NA
NA,1987-03-09T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,0.5,2.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13.4,29.2,NA,NA
NA,2011-01-17T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",5,43,264,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",3.5,9.4,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,43,204,78
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",14.7,30.7,NA,NA
NA,2004-01-16T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,171,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.1,37.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",7.5,32.1,NA,NA
NA,2009-01-21T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.7,62.3,206,NA
NA,2007-02-20T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.9,38.1,186,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.8,15,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,39,192,83
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.9,39.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",19.6,27.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14.9,36.5,NA,NA
NA,2006-01-20T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.9,50.1,334,NA
NA,2012-01-16T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,92,161,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.6,42.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.2,25,NA,NA
NA,2004-01-18T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,208,NA
NA,2013-01-16T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,90,362,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.6,37,NA,NA
NA,1987-02-09T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,2.5,12.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.5,33.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",6.9,23.8,NA,NA
NA,2003-01-17T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13,39,192,NA
NA,2005-01-18T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",8.5,70,306,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",7.9,29.4,NA,NA
NA,2011-01-20T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",5,41,225,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",18.9,36.7,NA,NA
NA,2014-01-20T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,289,NA
NA,2008-01-15T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",28.2,80.3,267,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.9,33.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",19.3,34.4,NA,NA
NA,1988-01-08T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",NA,NA,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",21.4,31.8,NA,NA
NA,1988-01-08T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,NA,NA
NA,2005-01-19T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",17.7,68.6,285,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12.5,16.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.9,37.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",19.4,26.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.4,20.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",18.2,38.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.6,37.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",11.2,27.3,NA,NA
NA,2009-01-27T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",23.5,60.7,279,NA
NA,1987-02-09T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,16.4,17.2,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,46,159,146
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",10.9,36.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.8,21.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",25.5,31.3,NA,NA
NA,2014-01-23T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,192,NA
NA,2003-01-22T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12,36,170,NA
NA,2006-01-21T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",22.3,41,275,NA
NA,2004-01-21T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,120,NA
NA,2008-01-16T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",34.9,91.7,287,NA
NA,2013-01-17T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,74,172,NA
NA,2012-01-27T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",7,114,208,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.9,19.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.6,36.6,NA,NA
NA,2011-01-25T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,46,195,NA
NA,2007-02-21T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",20.6,49.6,215,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",18.8,65.8,NA,NA
NA,1988-03-09T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.8,29.9,NA,NA
NA,2005-01-21T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.7,36.8,259,NA
NA,2006-01-23T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",21,45.4,301,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",34.1,69.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.6,35.6,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",47,64.5,NA,NA
NA,2008-01-22T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",22.4,86.3,282,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.3,20,NA,NA
NA,1987-03-10T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Residential,3.1,14.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.6,39.3,NA,NA
NA,2011-01-02T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,196,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11.3,36.4,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",34.2,52.1,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",23.4,56,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",106.1,108.4,NA,NA
NA,2007-02-26T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.7,71.9,267,NA
NA,2013-01-29T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,99,330,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,267,62
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",17.9,27.5,NA,NA
NA,2012-01-28T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",15,104,216,NA
NA,2009-01-28T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.8,69.8,304,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",31.7,21.6,NA,NA
NA,2014-01-28T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,37,280,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",6.5,58,NA,NA
NA,2003-01-27T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12,43,112,NA
NA,2004-01-27T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,115.33,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",14,17.2,NA,NA
NA,2005-01-22T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.1,18.6,150,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",9.7,24.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.8,25.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.2,33.2,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",21.7,36,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.8,35.4,NA,NA
NA,2008-01-23T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",23.6,105.9,175,NA
NA,1988-02-09T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",3.1,18.5,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,50,235,112
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",16.2,30.8,NA,NA
NA,2011-04-02T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,36,292,NA
NA,2003-01-30T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13,37,179,NA
NA,2009-01-29T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.3,85,304,NA
NA,2007-02-27T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",9.4,37,175,NA
NA,2014-03-02T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,37,326,NA
NA,2013-01-30T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,87,413,NA
NA,2012-01-29T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",10,107,207,NA
NA,1987-04-10T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Residential,14.2,14.6,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",23.1,64.3,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",17.2,60.4,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",35.6,71.5,NA,NA
NA,2006-01-24T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",23.1,50.5,299,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.1,38.6,NA,NA
NA,2004-03-02T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,69.67,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",21.4,59.9,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",25.5,61.2,NA,NA
NA,2009-03-02T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",11.3,106.7,371,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",6.8,38.2,NA,NA
NA,2004-05-02T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,81,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",25,47.3,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",44.3,56.7,NA,NA
NA,2013-02-15T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",9,68,135,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,48,241,62
