DISTRICT_NAME,TIME,RAINFALL
Alwar,2020-11-12,0.0
Alwar,2020-11-13,0.0
Alwar,2020-11-14,0.0
Alwar,2020-11-15,0.0
Alwar,2020-11-16,2.0791036656924655
Alwar,2020-11-17,0.0
Alwar,2020-11-18,0.0
Alwar,2020-11-19,0.0
Alwar,2020-11-20,0.0
Alwar,2020-11-21,0.0
Alwar,2020-11-22,0.0
Alwar,2020-11-23,0.0
Alwar,2020-11-24,0.0
Alwar,2020-11-25,0.0
Alwar,2020-11-26,0.4279579573443958
Alwar,2020-11-27,0.0
Alwar,2020-11-28,0.0
Alwar,2020-11-29,0.0
Alwar,2020-11-30,0.0
Alwar,2020-12-01,0.0
Alwar,2020-12-02,0.0
Alwar,2020-12-03,0.0
Alwar,2020-12-04,0.0
Alwar,2020-12-05,0.0
Alwar,2020-12-06,0.0
Alwar,2020-12-07,0.0
Alwar,2020-12-08,0.0
Alwar,2020-12-09,0.0
Alwar,2020-12-10,0.0
Alwar,2020-12-11,0.0
Alwar,2020-12-12,0.023676987205232893
Alwar,2020-12-13,0.0
Alwar,2020-12-14,0.0
Alwar,2020-12-15,0.0
Alwar,2020-12-16,0.0
Alwar,2020-12-17,0.0
Alwar,2020-12-18,0.0
Alwar,2020-12-19,0.0
Alwar,2020-12-20,0.0
Alwar,2020-12-21,0.0
Alwar,2020-12-22,0.0
Alwar,2020-12-23,0.0
Alwar,2020-12-24,0.0
Alwar,2020-12-25,0.0
Alwar,2020-12-26,0.0
Alwar,2020-12-27,0.0
Alwar,2020-12-28,0.0
Alwar,2020-12-29,0.0
Alwar,2020-12-30,0.0
Alwar,2020-12-31,0.0
Baghpat,2020-01-01,0.0
Baghpat,2020-01-02,0.0
Baghpat,2020-01-03,1.0887626707553864
Baghpat,2020-01-04,0.0
Baghpat,2020-01-05,0.0
Baghpat,2020-01-06,0.0
Baghpat,2020-01-07,1.3243968188762665
Baghpat,2020-01-08,7.41926646232605
Baghpat,2020-01-09,8.820088624954224
Baghpat,2020-01-10,0.0
Baghpat,2020-01-11,0.0
Baghpat,2020-01-12,0.0
Baghpat,2020-01-13,0.0
Baghpat,2020-01-14,0.0
Baghpat,2020-01-15,0.0
Baghpat,2020-01-16,0.07489202916622162
Baghpat,2020-01-17,16.962451457977295
Baghpat,2020-01-18,0.0
Baghpat,2020-01-19,0.0
Baghpat,2020-01-20,0.0
Baghpat,2020-01-21,0.0
Baghpat,2020-01-22,0.0
Baghpat,2020-01-23,0.0
Baghpat,2020-01-24,0.0
Baghpat,2020-01-25,0.0
