State,State Code,District Code,Sub District Code,Level,Area_Name,Type,Number of villages,Unnamed: 7,Number of towns,Number of households,Population,Unnamed: 11,Unnamed: 12,Area_sq_km,Pop_Density,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
Haryana,6.0,84.0,0.0,DISTRICT,Mahendragarh,Rural,369,1,0,"1,47,122",789233.0,"4,16,358","3,72,875",1866.02,423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,84.0,0.0,DISTRICT,Mahendragarh,Total,369,1,5,"1,71,712",922088.0,"4,86,665","4,35,423",1899.0,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,84.0,0.0,DISTRICT,Mahendragarh,Urban,0,0,5,"24,590",132855.0,"70,307","62,548",32.98,4028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,89.0,0.0,DISTRICT,Palwal ,Rural,268,12,0,"1,29,696",806164.0,"4,28,907","3,77,257",1311.9,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,89.0,0.0,DISTRICT,Palwal ,Total,268,12,6,"1,71,157",1042708.0,"5,54,497","4,88,211",1359.0,767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,89.0,0.0,DISTRICT,Palwal ,Urban,0,0,6,"41,461",236544.0,"1,25,590","1,10,954",47.1,5022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,75.0,0.0,DISTRICT,Panipat,Rural,176,10,0,"1,21,876",650352.0,"3,49,642","3,00,710",1188.65,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,75.0,0.0,DISTRICT,Panipat,Total,176,10,12,"2,35,640",1205437.0,"6,46,857","5,58,580",1268.0,951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,75.0,0.0,DISTRICT,Panipat,Urban,0,0,12,"1,13,764",555085.0,"2,97,215","2,57,870",79.35,6995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,85.0,0.0,DISTRICT,Rewari,Rural,389,14,0,"1,30,299",666902.0,"3,49,710","3,17,192",1529.11,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,85.0,0.0,DISTRICT,Rewari,Total,389,14,9,"1,78,043",900332.0,"4,74,335","4,25,997",1594.0,565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,85.0,0.0,DISTRICT,Rewari,Urban,0,0,9,"47,744",233430.0,"1,24,625","1,08,805",64.89,3597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,82.0,0.0,DISTRICT,Rohtak,Rural,136,7,0,"1,17,450",615040.0,"3,32,034","2,83,006",1639.02,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,82.0,0.0,DISTRICT,Rohtak,Total,136,7,5,"2,06,988",1061204.0,"5,68,479","4,92,725",1745.0,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,82.0,0.0,DISTRICT,Rohtak,Urban,0,0,5,"89,538",446164.0,"2,36,445","2,09,719",105.98,4210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,76.0,0.0,DISTRICT,Sonipat,Rural,319,13,0,"1,87,552",996637.0,"5,38,750","4,57,887",2039.99,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,76.0,0.0,DISTRICT,Sonipat,Total,319,13,8,"2,77,726",1450001.0,"7,81,299","6,68,702",2122.0,683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
