YEAR,MONTH,DISTRICT_NAME,RAINFALL
2017,8,Muzaffarnagar,5.5689465758060255
2017,9,Muzaffarnagar,9.59230728050073
2017,10,Muzaffarnagar,0.0
2017,11,Muzaffarnagar,0.0
2017,12,Muzaffarnagar,0.28112558395631854
2017,1,North East Delhi,0.5814766806940879
2017,2,North East Delhi,0.0
2017,3,North East Delhi,0.17115848487423313
2017,4,North East Delhi,0.12733443081378937
2017,5,North East Delhi,0.5134649240682202
2017,6,North East Delhi,3.0471883684396746
2017,7,North East Delhi,2.3298188361429397
2017,8,North East Delhi,2.292330010283378
2017,9,North East Delhi,2.1179952045281727
2017,10,North East Delhi,0.0
2017,11,North East Delhi,0.004622724652290343
2017,12,North East Delhi,0.12477184111072172
2017,1,North West Delhi,1.1884917578389567
2017,2,North West Delhi,0.0
2017,3,North West Delhi,0.181290905321798
2017,4,North West Delhi,0.5688230226437251
2017,5,North West Delhi,0.5585957996306881
2017,6,North West Delhi,4.765032574534416
2017,7,North West Delhi,4.167775166611517
2017,8,North West Delhi,3.1900498963171438
2017,9,North West Delhi,3.7757273356119794
2017,10,North West Delhi,0.0
2017,11,North West Delhi,0.00964827835559845
2017,12,North West Delhi,0.1524878009673088
2017,1,Nuh,0.49105781797439824
2017,2,Nuh,0.0
2017,3,Nuh,0.3900282408601494
2017,4,Nuh,0.04650986260837979
2017,5,Nuh,0.6840223215760723
2017,6,Nuh,3.014336909188165
2017,7,Nuh,3.2858880362523495
2017,8,Nuh,1.8275373102195802
2017,9,Nuh,4.821799467669593
2017,10,Nuh,0.0
2017,11,Nuh,0.0
2017,12,Nuh,0.09434845883359191
2017,1,Palwal,0.4195090861570451
2017,2,Palwal,0.0
2017,3,Palwal,0.2899059601608784
2017,4,Palwal,0.05182657887538274
2017,5,Palwal,0.36115073857288205
2017,6,Palwal,2.9990834300716718
2017,7,Palwal,2.5750606063633197
2017,8,Palwal,1.638013942347419
2017,9,Palwal,6.227442546437184
2017,10,Palwal,0.0
2017,11,Palwal,0.00416202868024508
2017,12,Palwal,0.11200358886872569
2017,1,Panipat,1.56414367306617
2017,2,Panipat,0.0072089832808290176
2017,3,Panipat,0.23287161704032652
2017,4,Panipat,0.08693626324335733
2017,5,Panipat,0.33464943497411664
2017,6,Panipat,3.4429758101701737
2017,7,Panipat,2.799496969388377
2017,8,Panipat,1.3980977237224579
2017,9,Panipat,4.450400103628636
2017,10,Panipat,0.0
2017,11,Panipat,0.0
2017,12,Panipat,0.03207530129340387
2017,1,Rewari,0.9884507886825069
2017,2,Rewari,0.031373360327311924
2017,3,Rewari,0.09861589343317093
2017,4,Rewari,0.003969750056664147
2017,5,Rewari,0.578151979754048
2017,6,Rewari,4.7942228217919665
2017,7,Rewari,2.514036342982323
2017,8,Rewari,1.945985076888915
2017,9,Rewari,1.0779023898144564
2017,10,Rewari,0.0
2017,11,Rewari,0.0
2017,12,Rewari,0.042557916333598476
2017,1,Rohtak,0.9296291182118077
2017,2,Rohtak,0.0
2017,3,Rohtak,0.13867387367833045
2017,4,Rohtak,0.04545969665050507
2017,5,Rohtak,0.3777817718444332
2017,6,Rohtak,5.504852398981651
2017,7,Rohtak,2.583304047103851
2017,8,Rohtak,2.2665120101263447
2017,9,Rohtak,1.4791425744692484
2017,10,Rohtak,0.0
2017,11,Rohtak,0.008668480316797891
2017,12,Rohtak,0.07849896146405128
2017,1,Shamli,1.5775464254040872
2017,2,Shamli,0.00972049364021846
2017,3,Shamli,0.0881019095259328
2017,4,Shamli,0.05146951675415039
2017,5,Shamli,0.3819709886466303
2017,6,Shamli,2.6315178379416464
2017,7,Shamli,1.9158690720796585
2017,8,Shamli,3.724791942584899
2017,9,Shamli,6.170088248203198
2017,10,Shamli,0.0
2017,11,Shamli,0.0
2017,12,Shamli,0.11621622885427167
2017,1,Sonipat,1.8745224456633294
2017,2,Sonipat,0.009292029376540865
2017,3,Sonipat,0.40539631023201894
2017,4,Sonipat,0.08182059393988715
2017,5,Sonipat,0.3917174294430723
2017,6,Sonipat,4.201135305894746
2017,7,Sonipat,3.1770843741714314
2017,8,Sonipat,1.8652279963416438
2017,9,Sonipat,3.9630533458458057
2017,10,Sonipat,0.0
2017,11,Sonipat,0.0
2017,12,Sonipat,0.16389277160808605
2017,1,South East Delhi,0.41151691636731547
2017,2,South East Delhi,0.0
2017,3,South East Delhi,0.10188794905139555
2017,4,South East Delhi,0.08153461615244546
2017,5,South East Delhi,0.4695230424404145
2017,6,South East Delhi,2.64077590405941
2017,7,South East Delhi,3.562957879997069
2017,8,South East Delhi,1.0982743583379253
2017,9,South East Delhi,5.9602478315432865
2017,10,South East Delhi,0.0
2017,11,South East Delhi,0.02038365403811137
2017,12,South East Delhi,0.17506330244002805
2018,1,Alwar,0.03335123759810276
2018,2,Alwar,0.0
2018,3,Alwar,0.11766227860055213
2018,4,Alwar,0.9322817722956339
2018,5,Alwar,0.3529656361874348
2018,6,Alwar,3.705500027324472
2018,7,Alwar,5.620522650224822
2018,8,Alwar,4.774658857471383
2018,9,Alwar,3.7895462243329914
2018,10,Alwar,0.06815992494881977
2018,11,Alwar,0.035913157250199994
2018,12,Alwar,0.019397431529612034
2018,1,Baghpat,0.0794238967280234
2018,2,Baghpat,0.003428396635821886
2018,3,Baghpat,0.0910781006659231
2018,4,Baghpat,0.5111516388754049
2018,5,Baghpat,0.4006728279975153
2018,6,Baghpat,1.6801919010778268
2018,7,Baghpat,10.358554161844715
2018,8,Baghpat,6.604869483219039
2018,9,Baghpat,5.960773461560408
2018,10,Baghpat,0.014471870516577074
2018,11,Baghpat,0.0762332464257876
2018,12,Baghpat,0.026753594798426473
2018,1,Bharatpur,0.0
2018,2,Bharatpur,0.0
2018,3,Bharatpur,0.08021304179583827
2018,4,Bharatpur,0.4983498553435008
2018,5,Bharatpur,0.3075724801709575
2018,6,Bharatpur,3.4963444670041404
2018,7,Bharatpur,8.250156100238524
2018,8,Bharatpur,3.0285700922531467
2018,9,Bharatpur,3.286011491219203
2018,10,Bharatpur,0.09133194146617767
2018,11,Bharatpur,0.012762412428855896
2018,12,Bharatpur,0.0
2018,1,Bulandshahr,0.07840708298708804
2018,2,Bulandshahr,0.12340910147343363
2018,3,Bulandshahr,0.0028932979831131547
2018,4,Bulandshahr,0.12407024800777436
2018,5,Bulandshahr,0.18789673380313382
2018,6,Bulandshahr,0.3417146982418166
2018,7,Bulandshahr,9.121333107993166
2018,8,Bulandshahr,4.693480997196128
2018,9,Bulandshahr,3.8632613868349126
2018,10,Bulandshahr,0.004482796756170129
2018,11,Bulandshahr,0.02878687241011196
2018,12,Bulandshahr,0.0
2018,1,Gautam Buddha Nagar,0.07114022008834346
2018,2,Gautam Buddha Nagar,0.0
2018,3,Gautam Buddha Nagar,0.0
2018,4,Gautam Buddha Nagar,0.004206716020901997
2018,5,Gautam Buddha Nagar,0.017863130377184958
2018,6,Gautam Buddha Nagar,0.4799465755621592
2018,7,Gautam Buddha Nagar,4.762932739190517
2018,8,Gautam Buddha Nagar,3.894224266852102
2018,9,Gautam Buddha Nagar,5.71874829530716
2018,10,Gautam Buddha Nagar,0.0
2018,11,Gautam Buddha Nagar,0.22223498821258544
2018,12,Gautam Buddha Nagar,0.0
2018,1,Ghaziabad,0.030518668313180248
2018,2,Ghaziabad,0.0
2018,3,Ghaziabad,0.0
2018,4,Ghaziabad,0.0787873735030492
2018,5,Ghaziabad,0.3100901572935043
2018,6,Ghaziabad,0.6401381939649582
2018,7,Ghaziabad,8.612884420060343
2018,8,Ghaziabad,3.6507332108674513
2018,9,Ghaziabad,7.055445314943791
2018,10,Ghaziabad,0.014727610734201244
2018,11,Ghaziabad,0.017834497491518657
2018,12,Ghaziabad,0.0
2018,1,Gurugram,0.05011740230744885
2018,2,Gurugram,0.0
2018,3,Gurugram,0.0
2018,4,Gurugram,0.2956320370237033
2018,5,Gurugram,0.3246802276661319
2018,6,Gurugram,2.89315136273702
2018,7,Gurugram,7.0027309124988895
2018,8,Gurugram,4.8019326857982145
2018,9,Gurugram,4.992138052235047
2018,10,Gurugram,0.0
2018,11,Gurugram,0.11851635773976645
2018,12,Gurugram,0.016502007361381278
2018,1,Hapur,0.011827114128297374
2018,2,Hapur,0.00961126493556159
2018,3,Hapur,0.0
2018,4,Hapur,0.0
2018,5,Hapur,0.03636333971254287
2018,6,Hapur,0.1417781074841817
2018,7,Hapur,8.76283096209649
2018,8,Hapur,6.3770140736333785
2018,9,Hapur,5.747165036201477
2018,10,Hapur,0.06616620094545426
2018,11,Hapur,0.0
