DISTRICT_NAME,State,AQI,YEAR,MONTH,TIME,TIME_ISO,DISTRICT_NAME_clean
Jind,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,jind
Mahendragarh,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,5,2018-05-01,2018-05-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,,2018,5,2018-05-01,2018-05-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,185.94,2018,5,2018-05-01,2018-05-01T00:00:00,new delhi
North Delhi,NCTofDelhi,217.53,2018,5,2018-05-01,2018-05-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,211.01,2018,5,2018-05-01,2018-05-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,249.8,2018,5,2018-05-01,2018-05-01T00:00:00,north west delhi
Nuh,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,nuh
Palwal,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,palwal
Panipat,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,panipat
Rewari,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,rewari
Rohtak,Haryana,179.58,2018,5,2018-05-01,2018-05-01T00:00:00,rohtak
Shahdara,NCTofDelhi,217.6,2018,5,2018-05-01,2018-05-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,5,2018-05-01,2018-05-01T00:00:00,shamli
Sonipat,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,sonipat
South Delhi,NCTofDelhi,211.89,2018,5,2018-05-01,2018-05-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,220.97,2018,5,2018-05-01,2018-05-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,210.78,2018,5,2018-05-01,2018-05-01T00:00:00,south west delhi
West,NCTofDelhi,218.42,2018,5,2018-05-01,2018-05-01T00:00:00,west delhi
West Delhi,NCTofDelhi,185.02,2018,5,2018-05-01,2018-05-01T00:00:00,west delhi
Alwar,Rajasthan,96.32,2018,6,2018-06-01,2018-06-01T00:00:00,alwar
Baghpat,UttarPradesh,,2018,6,2018-06-01,2018-06-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,6,2018-06-01,2018-06-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,211.6,2018,6,2018-06-01,2018-06-01T00:00:00,bulandshahr
East Delhi,NCTofDelhi,171.89,2018,6,2018-06-01,2018-06-01T00:00:00,east delhi
Faridabad,Haryana,150.88,2018,6,2018-06-01,2018-06-01T00:00:00,faridabad
Gautam Buddha Nagar,UttarPradesh,217.85,2018,6,2018-06-01,2018-06-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,213.28,2018,6,2018-06-01,2018-06-01T00:00:00,ghaziabad
Gurugram,Haryana,241.43,2018,6,2018-06-01,2018-06-01T00:00:00,gurugram
Hapur,UttarPradesh,,2018,6,2018-06-01,2018-06-01T00:00:00,hapur
Jhajjar,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,jhajjar
Jind,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,jind
Mahendragarh,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,6,2018-06-01,2018-06-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,128.8,2018,6,2018-06-01,2018-06-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,186.56,2018,6,2018-06-01,2018-06-01T00:00:00,new delhi
North Delhi,NCTofDelhi,199.75,2018,6,2018-06-01,2018-06-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,170.41,2018,6,2018-06-01,2018-06-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,197.72,2018,6,2018-06-01,2018-06-01T00:00:00,north west delhi
Nuh,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,nuh
Palwal,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,palwal
Panipat,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,panipat
Rewari,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,rewari
Rohtak,Haryana,138.53,2018,6,2018-06-01,2018-06-01T00:00:00,rohtak
Shahdara,NCTofDelhi,194.68,2018,6,2018-06-01,2018-06-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,6,2018-06-01,2018-06-01T00:00:00,shamli
Sonipat,Haryana,,2018,6,2018-06-01,2018-06-01T00:00:00,sonipat
South Delhi,NCTofDelhi,201.43,2018,6,2018-06-01,2018-06-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,192.77,2018,6,2018-06-01,2018-06-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,182.31,2018,6,2018-06-01,2018-06-01T00:00:00,south west delhi
West,NCTofDelhi,203.07,2018,6,2018-06-01,2018-06-01T00:00:00,west delhi
West Delhi,NCTofDelhi,158.74,2018,6,2018-06-01,2018-06-01T00:00:00,west delhi
Alwar,Rajasthan,99.04,2018,7,2018-07-01,2018-07-01T00:00:00,alwar
Baghpat,UttarPradesh,232.5,2018,7,2018-07-01,2018-07-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,7,2018-07-01,2018-07-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,85.4,2018,7,2018-07-01,2018-07-01T00:00:00,bulandshahr
East Delhi,NCTofDelhi,103.84,2018,7,2018-07-01,2018-07-01T00:00:00,east delhi
Faridabad,Haryana,103.79,2018,7,2018-07-01,2018-07-01T00:00:00,faridabad
