id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
191403,2018-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,33.67,-0.25
191404,2018-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,34.93,1.26
191405,2019-01-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,35.02,0.09
191406,2019-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,35.69,0.67
191407,2019-08-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,36.46,0.77
191408,2019-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,36.81,0.35
191409,2020-01-09,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,36.96,0.15
191410,2021-01-09,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,17.08,-19.88
191411,2013-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,21.53,1.7
191412,2013-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,21.03,-0.5
191413,2013-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,21.42,0.39
191414,2014-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,22.57,1.15
191415,2014-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,24.14,1.57
191416,2014-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,24.37,0.23
191417,2015-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,25.93,1.56
191418,2015-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,27.16,1.23
191419,2015-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,27.66,0.5
191420,2016-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,23.3,-4.36
191421,2016-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,28.65,5.35
191422,2016-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,27.85,-0.8
191423,2017-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,27.71,-0.14
191424,2017-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,31.68,3.97
191425,2018-01-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,31.67,-0.01
191426,2018-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,32.57,0.9
191427,2018-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,33.08,0.51
191428,2019-01-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,33.58,0.5
191429,2019-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,34.62,1.04
191430,2019-08-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,35.52,0.9
191431,2019-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,36.18,0.66
191432,2020-01-09,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-72 Pz,28.58889,77.38,Ganga,Yamuna Upper,CGWB,36.31,0.13
191433,2013-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.6,0.5
191434,2013-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.5,-0.1
191435,2013-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.93,0.43
191436,2013-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.25,-0.68
191437,2014-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.36,0.11
191438,2014-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.38,0.02
191439,2014-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,16.1,0.72
